item_id,title,avg_gap_days,storage_type,shelf_life_days,can_freeze,perishability,confidence,notes
1001336,Levering kolding,58.33,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1002138,Smørrebrød,999.0,dry,7,True,low,high,bread products
1005090,Lagkage (stykke),999.0,dry,30,False,low,medium,pastries shelf-stable
1006599,Oprah,35.33,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1006969,Brigitte Bardot,30.67,dry,365,False,low,high,coffee/tea/hot drinks
1009825,Bofsanwich,19.75,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1010565,Stor pose,7.35,ambient,180,False,low,high,shelf-stable snacks
1010586,Lille pose,1.08,ambient,180,False,low,high,shelf-stable snacks
1010670,kæmpehotdog,7.04,frozen,60,True,medium,high,processed meat frozen
1020519,Julemenu 2,7.0,refrigerated,1,False,high,medium,ready-to-eat meals
1025188,ovnstegt kylling,14.36,dry,365,False,low,high,coffee/tea/hot drinks
1025731,sommersby,12.4,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1045589,Unspecified,2.35,refrigerated,2,True,medium,low,assumed perishable (no rule match)
1046543,Stor Cappuccino,1.36,dry,365,False,low,high,coffee/tea/hot drinks
1046792,Bamse,13.75,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1050588,Transport København,7.9,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1050652,Pant dåse eller glasflaske,3.62,ambient,365,False,low,high,alcoholic beverages
1050661,Pant plasticflaske,3.37,ambient,365,False,low,high,alcoholic beverages
1050690,Skinke Ost lille,7.7,refrigerated,14,True,medium,high,cheese
1050699,Skinke Ost stor,14.7,refrigerated,14,True,medium,high,cheese
1050723,Kulinorm lille,999.0,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1050731,Kulinorm stor,70.5,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1061417,Dose sodavand,1.77,ambient,365,False,low,high,soft drinks
1061422,Cacio,6.29,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1063877,Bowtech,5.58,dry,365,False,low,high,coffee/tea/hot drinks
1063904,Akupunktur,9.22,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1065348,Sodavand (personale),7.13,ambient,365,False,low,high,soft drinks
1066011,Unspecified,5.28,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1066388,Frikadelle,2.4,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1068946,Energidrik,1.85,refrigerated,2,True,medium,low,assumed perishable (no rule match)
1068995,Dobbelt Jack D / vand,34.67,frozen,90,True,medium,high,meat frozen
1070380,Glas vin,1.32,ambient,365,False,low,high,alcoholic beverages
1070400,Vin flaske,1.98,ambient,365,False,low,high,alcoholic beverages
1071037,Koffeinfri kaffe,4.51,dry,365,False,low,high,coffee/tea/hot drinks
1072577,Stjerneskud,999.0,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1072682,Lakseroulade,112.0,frozen,60,True,medium,high,seafood frozen
1072754,Ananasring,31.0,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1072844,Tarteletter 2 stk.,68.0,dry,365,False,low,high,coffee/tea/hot drinks
1072973,Svinekam m/ rødkål,37.33,ambient,365,False,low,high,alcoholic beverages
1073041,Nakkekam stegt som vildt,999.0,dry,365,False,low,high,coffee/tea/hot drinks
1073078,Quiche + salade,10.5,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1073108,Bagels brod,11.86,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1073110,Oksesteg,36.0,dry,365,False,low,high,coffee/tea/hot drinks
1073127,Bagels med cream cheese,11.85,refrigerated,14,True,medium,high,cheese
1073172,Kalvesteg stegt som vildt,33.6,dry,365,False,low,high,coffee/tea/hot drinks
1073198,Kalvefilet,999.0,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1073221,Andesteg,21.5,dry,365,False,low,high,coffee/tea/hot drinks
1073237,Andesteg og flæskesteg,22.5,dry,365,False,low,high,coffee/tea/hot drinks
1073265,Wienerschnitzel (300gr),7.0,refrigerated,2,True,high,high,meat fresh
1073312,Islagkage m/ vafler,19.5,dry,30,False,low,medium,pastries shelf-stable
1073321,Isrand m/ frugtsalat,141.0,frozen,90,True,medium,high,meat frozen
1073345,Isrand m/ pærer og chokoladesovs,999.0,dry,365,False,low,high,coffee/tea/hot drinks
1073366,Daim is på mandelbund,999.0,frozen,90,True,medium,high,meat frozen
1073472,Pandekager m/ is,23.0,frozen,90,True,medium,high,meat frozen
1073508,Nøddekurv,999.0,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1073574,Fromage,31.67,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1073647,Ris a la manda,39.0,frozen,90,True,medium,high,meat frozen
1073747,Æggekage,999.0,dry,30,False,low,medium,pastries shelf-stable
1073900,Suppe efter eget valg,113.0,dry,365,False,low,high,coffee/tea/hot drinks
1073964,Kyllingesteg,91.0,dry,365,False,low,high,coffee/tea/hot drinks
1074024,Mørbradgryde,999.0,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1074076,Kotellet eller sprængt oksebryst,9.0,dry,365,False,low,high,coffee/tea/hot drinks
1074112,Dansk bøf eller krebinetter,31.0,dry,365,False,low,high,coffee/tea/hot drinks
1074137,Diverse gryderetter,999.0,dry,365,False,low,high,coffee/tea/hot drinks
1074148,Gule ærter,999.0,dry,365,False,low,high,coffee/tea/hot drinks
1074197,Biksemad,21.25,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1074224,Stegt flæsk,65.0,dry,365,False,low,high,coffee/tea/hot drinks
1074249,Kaffe/ the,12.0,dry,365,False,low,high,coffee/tea/hot drinks
1074295,Kringle eller boller m/smør,999.0,dry,7,True,low,high,bread products
1074340,Småkager,39.5,dry,30,False,low,medium,pastries shelf-stable
1074350,Kransekagekonfekt,44.33,dry,30,False,low,medium,pastries shelf-stable
1074362,Lagkage,23.33,dry,30,False,low,medium,pastries shelf-stable
1074373,Kaffe/the m/ 1 x kage,33.0,dry,365,False,low,high,coffee/tea/hot drinks
1074414,Kaffe/the m/ 2 x kage,83.0,dry,365,False,low,high,coffee/tea/hot drinks
1074541,"Æg og tomat, 5 slags pålæg",20.25,refrigerated,3,False,high,high,fresh salads/vegetables
1074646,Buffet 1,48.0,refrigerated,1,False,high,medium,ready-to-eat meals
1074721,Buffet 5,999.0,refrigerated,1,False,high,medium,ready-to-eat meals
1074763,Buffet 6,999.0,refrigerated,1,False,high,medium,ready-to-eat meals
1074831,Italiensk buffet,999.0,refrigerated,1,False,high,medium,ready-to-eat meals
1075017,Brunch,12.75,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1075025,Brunch/ Frokost,13.11,refrigerated,14,True,medium,high,cheese
1075101,Medi buffet,999.0,refrigerated,1,False,high,medium,ready-to-eat meals
