item_id,shelf_life_days,perishability,confidence,storage_type,notes,avg_gap_days
1005090,30,low,medium,dry,pastries shelf-stable,999.0
1006969,365,low,high,dry,coffee/tea/hot drinks,30.666666666666668
1010586,180,low,high,ambient,shelf-stable snacks,1.083832335329341
1020519,1,high,medium,refrigerated,ready-to-eat meals,7.0
1046543,365,low,high,dry,coffee/tea/hot drinks,1.3587786259541983
1050652,365,low,high,ambient,alcoholic beverages,3.617021276595745
1050661,365,low,high,ambient,alcoholic beverages,3.3653846153846154
1050690,14,medium,high,refrigerated,cheese,7.7
1061417,365,low,high,ambient,soft drinks,1.7745098039215683
1063877,365,low,high,dry,coffee/tea/hot drinks,5.580645161290323
1065348,365,low,high,ambient,soft drinks,7.130434782608695
1070380,365,low,high,ambient,alcoholic beverages,1.3161764705882353
1070400,365,low,high,ambient,alcoholic beverages,1.978021978021978
1074249,365,low,high,dry,coffee/tea/hot drinks,12.0
1074362,30,low,medium,dry,pastries shelf-stable,23.33333333333333
1074373,365,low,high,dry,coffee/tea/hot drinks,33.0
1074541,3,high,high,refrigerated,fresh salads/vegetables,20.25
1075025,14,medium,high,refrigerated,cheese,13.11111111111111
1075309,7,low,high,dry,bread products,15.0
1080675,90,medium,high,frozen,pizza (frozen/long shelf),7.454545454545454
1080679,90,medium,high,frozen,pizza (frozen/long shelf),8.352941176470589
1080689,90,medium,high,frozen,pizza (frozen/long shelf),4.852941176470588
1080700,90,medium,high,frozen,pizza (frozen/long shelf),10.583333333333334
1088169,60,medium,medium,frozen,pasta/rice frozen,59.5
1100698,365,low,high,ambient,alcoholic beverages,9.210526315789474
1100763,365,low,high,ambient,soft drinks,10.294117647058824
1100797,90,medium,high,frozen,meat frozen,46.66666666666666
1112320,2,high,high,refrigerated,meat fresh,3.2
1112338,90,medium,high,frozen,meat frozen,999.0
1112355,14,medium,high,refrigerated,cheese,10.714285714285714
1112367,60,medium,high,frozen,seafood frozen,77.0
1112443,1,high,medium,refrigerated,ready-to-eat meals,1.0402298850574712
1112466,1,high,medium,refrigerated,ready-to-eat meals,1.0342857142857145
1132989,14,medium,high,refrigerated,sauces/condiments,10.0625
1139475,365,low,high,ambient,alcoholic beverages,15.909090909090908
1198760,365,low,high,ambient,soft drinks,2.828125
1208733,365,low,high,ambient,alcoholic beverages,7.291666666666667
1227518,365,low,high,ambient,alcoholic beverages,28.0
1229570,30,low,medium,dry,pastries shelf-stable,1.4958677685950412
1229711,7,low,high,dry,bread products,1.381679389312977
1229797,365,low,high,dry,coffee/tea/hot drinks,3.339622641509434
1230094,30,low,medium,dry,pastries shelf-stable,5.027777777777778
1230812,90,medium,high,frozen,meat frozen,2.769230769230769
1236848,7,low,high,dry,bread products,1.5789473684210529
1236854,7,low,high,dry,bread products,9.210526315789474
1240114,365,low,high,ambient,alcoholic beverages,29.4
1240128,365,low,high,ambient,soft drinks,17.5
1244728,365,low,high,dry,coffee/tea/hot drinks,3.0
1256148,180,low,high,ambient,shelf-stable snacks,3.4150943396226414
1259247,7,medium,high,refrigerated,dairy/eggs,10.294117647058824
1267267,365,low,high,dry,coffee/tea/hot drinks,6.791666666666667
1269507,60,medium,medium,frozen,pasta/rice frozen,21.33333333333333
1279115,1,high,medium,refrigerated,ready-to-eat meals,3.450980392156863
1279122,365,low,high,ambient,alcoholic beverages,1.8333333333333333
1279655,90,low,medium,frozen,soup frozen,7.952380952380952
1298279,365,low,high,ambient,alcoholic beverages,1.903225806451613
1298536,365,low,high,ambient,soft drinks,1.292857142857143
1320295,365,low,high,ambient,alcoholic beverages,1.592920353982301
1383364,365,low,high,dry,coffee/tea/hot drinks,8.0
1399637,365,low,high,ambient,soft drinks,5.862068965517241
1420007,1,high,high,refrigerated,wraps/kebab fresh,2.2987012987012987
1420036,1,high,high,refrigerated,wraps/kebab fresh,2.333333333333333
1420053,60,medium,high,frozen,wraps/kebab frozen,4.195121951219512
1420731,365,low,high,ambient,alcoholic beverages,2.0454545454545454
1420742,1,high,high,refrigerated,wraps/kebab fresh,1.2587412587412588
1420743,365,low,high,ambient,alcoholic beverages,2.107142857142857
1420755,365,low,high,ambient,alcoholic beverages,1.2413793103448276
1420764,365,low,high,ambient,alcoholic beverages,3.326530612244898
1420766,90,medium,high,frozen,meat frozen,7.8
1420780,7,low,high,dry,bread products,10.0
