item_id,title,total_qty,n_days,avg_gap_days,max_gap_days,storage_type,shelf_life_days,can_freeze,perishability,confidence,notes
1005090,Lagkage (stykke),16,1,999.0,999.0,dry,30,False,low,medium,pastries shelf-stable
1006599,Oprah,4,4,35.333333333333336,86.0,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1006969,Brigitte Bardot,5,4,30.666666666666668,66.0,dry,365,False,low,high,coffee/tea/hot drinks
1010586,Lille pose,1078,168,1.083832335329341,4.0,ambient,180,False,low,high,shelf-stable snacks
1020519,Julemenu 2,98,6,7.0,14.0,refrigerated,1,False,high,medium,ready-to-eat meals
1025731,sommersby,15,11,12.4,37.0,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1045589,Unspecified,653,78,2.3506493506493507,9.0,refrigerated,2,True,medium,low,assumed perishable (no rule match)
1046543,Stor Cappuccino,337,132,1.3587786259541983,6.0,dry,365,False,low,high,coffee/tea/hot drinks
1050652,Pant dåse eller glasflaske,76,48,3.617021276595745,14.0,ambient,365,False,low,high,alcoholic beverages
1050661,Pant plasticflaske,83,53,3.3653846153846154,12.0,ambient,365,False,low,high,alcoholic beverages
1050690,Skinke Ost lille,60,21,7.7,34.0,refrigerated,14,True,medium,high,cheese
1061417,Dose sodavand,289,103,1.7745098039215683,7.0,ambient,365,False,low,high,soft drinks
1063877,Bowtech,38,32,5.580645161290323,20.0,dry,365,False,low,high,coffee/tea/hot drinks
1063904,Akupunktur,21,19,9.22222222222222,35.0,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1065348,Sodavand (personale),34,24,7.130434782608695,38.0,ambient,365,False,low,high,soft drinks
1066011,Unspecified,38,33,5.28125,14.0,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1066388,Frikadelle,199,74,2.3972602739726026,18.0,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1068946,Energidrik,161,96,1.8526315789473684,5.0,refrigerated,2,True,medium,low,assumed perishable (no rule match)
1070380,Glas vin,729,137,1.3161764705882353,11.0,ambient,365,False,low,high,alcoholic beverages
1070400,Vin flaske,189,92,1.978021978021978,10.0,ambient,365,False,low,high,alcoholic beverages
1073078,Quiche + salade,45,17,10.5,28.0,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1074249,Kaffe/ the,260,14,12.0,28.0,dry,365,False,low,high,coffee/tea/hot drinks
1074362,Lagkage,136,4,23.33333333333333,36.0,dry,30,False,low,medium,pastries shelf-stable
1074373,Kaffe/the m/ 1 x kage,218,6,33.0,128.0,dry,365,False,low,high,coffee/tea/hot drinks
1074541,"Æg og tomat, 5 slags pålæg",482,9,20.25,74.0,refrigerated,3,False,high,high,fresh salads/vegetables
1075017,Brunch,145,5,12.75,18.0,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1075025,Brunch/ Frokost,353,10,13.11111111111111,40.0,refrigerated,14,True,medium,high,cheese
1075309,Smørrebrød - vi vælger pålæg,400,12,15.0,39.0,dry,7,True,low,high,bread products
1075333,Håndmad,330,2,108.0,108.0,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1080675,FAMILIE PIZZA,57,23,7.454545454545454,23.0,frozen,90,True,medium,high,pizza (frozen/long shelf)
1080679,FAMILIE PIZZA,22,18,8.352941176470589,24.0,frozen,90,True,medium,high,pizza (frozen/long shelf)
1080689,FAMILIE PIZZA,59,35,4.852941176470588,21.0,frozen,90,True,medium,high,pizza (frozen/long shelf)
1080700,FAMILIE PIZZA,16,13,10.583333333333334,34.0,frozen,90,True,medium,high,pizza (frozen/long shelf)
1083823,1 Time Oliemassage,1,1,999.0,999.0,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1083828,1 Time Aromamassage,8,8,10.142857142857142,28.0,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1083829,1/2 Time Fodmassage,1,1,999.0,999.0,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1083830,1 Time Fodmassage,1,1,999.0,999.0,ambient,30,False,low,low,assumed shelf-stable (no rule match)
1088169,Personale Pris,3,3,59.5,114.0,frozen,60,True,medium,medium,pasta/rice frozen
1090102,Unspecified,6902,183,1.0,1.0,refrigerated,2,True,medium,low,assumed perishable (no rule match)
1100698,Fadøl 50cl,68,20,9.210526315789474,56.0,ambient,365,False,low,high,alcoholic beverages
1100763,Sodavand og cocio,93,18,10.294117647058824,77.0,ambient,365,False,low,high,soft drinks
1100797,Vand mv.,9,4,46.66666666666666,119.0,frozen,90,True,medium,high,meat frozen
1105817,Unspecified,1325,149,1.222972972972973,3.0,refrigerated,2,True,medium,low,assumed perishable (no rule match)
