item_id,title,total_qty,n_days,avg_gap_days,max_gap_days
1005090,Lagkage (stykke),16,1,999.0,999.0
1006599,Oprah,4,4,35.333333333333336,86.0
1006969,Brigitte Bardot,5,4,30.666666666666668,66.0
1010586,Lille pose,1078,168,1.0838323353293413,4.0
1020519,Julemenu 2,98,6,7.0,14.0
1025731,sommersby,15,11,12.4,37.0
1045589,Unspecified,653,78,2.3506493506493507,9.0
1046543,Stor Cappuccino,337,132,1.3587786259541985,6.0
1050652,Pant dåse eller glasflaske,76,48,3.617021276595745,14.0
1050661,Pant plasticflaske,83,53,3.3653846153846154,12.0
1050690,Skinke Ost lille,60,21,7.7,34.0
1061417,Dose sodavand,289,103,1.7745098039215685,7.0
1063877,Bowtech,38,32,5.580645161290323,20.0
1063904,Akupunktur,21,19,9.222222222222221,35.0
1065348,Sodavand (personale),34,24,7.130434782608695,38.0
1066011,Unspecified,38,33,5.28125,14.0
1066388,Frikadelle,199,74,2.3972602739726026,18.0
1068946,Energidrik,161,96,1.8526315789473684,5.0
1070380,Glas vin,729,137,1.3161764705882353,11.0
1070400,Vin flaske,189,92,1.978021978021978,10.0
1073078,Quiche + salade,45,17,10.5,28.0
1074249,Kaffe/ the,260,14,12.0,28.0
1074362,Lagkage,136,4,23.333333333333332,36.0
1074373,Kaffe/the m/ 1 x kage,218,6,33.0,128.0
1074541,"Æg og tomat, 5 slags pålæg",482,9,20.25,74.0
1075017,Brunch,145,5,12.75,18.0
1075025,Brunch/ Frokost,353,10,13.11111111111111,40.0
1075309,Smørrebrød - vi vælger pålæg,400,12,15.0,39.0
1075333,Håndmad,330,2,108.0,108.0
1080675,FAMILIE PIZZA,57,23,7.454545454545454,23.0
1080679,FAMILIE PIZZA,22,18,8.352941176470589,24.0
1080689,FAMILIE PIZZA,59,35,4.852941176470588,21.0
1080700,FAMILIE PIZZA,16,13,10.583333333333334,34.0
1083823,1 Time Oliemassage,1,1,999.0,999.0
1083828,1 Time Aromamassage,8,8,10.142857142857142,28.0
1083829,1/2 Time Fodmassage,1,1,999.0,999.0
1083830,1 Time Fodmassage,1,1,999.0,999.0
1088169,Personale Pris,3,3,59.5,114.0
1090102,Unspecified,6902,183,1.0,1.0
1100698,Fadøl 50cl,68,20,9.210526315789474,56.0
1100763,Sodavand og cocio,93,18,10.294117647058824,77.0
1100797,Vand mv.,9,4,46.666666666666664,119.0
1105817,Unspecified,1325,149,1.222972972972973,3.0
1112320,Ekstra bøf,96,56,3.2,12.0
1112338,Ekstra vegetarbøf,1,1,999.0,999.0
1112355,Ekstra ost,18,15,10.714285714285714,36.0
1112367,Ekstra fisk,3,2,77.0,77.0
1112443,Menu 1,2144,175,1.0402298850574712,4.0
1112466,Menu 2-4,2160,176,1.0342857142857143,4.0
1118805,Special,128,9,2.0,3.0
1132989,Pesto,55,17,10.0625,28.0
1137892,Floedeis,46,26,6.76,21.0
1139475,Portvin glas,108,12,15.909090909090908,64.0
1145644,Manicure med ensfarvet lak/Shellac,17,17,10.5,35.0
1173432,Brunch,34,3,51.5,76.0
1198760,Sodavand,117,65,2.828125,27.0
1208733,Fredagsøl,750,25,7.291666666666667,14.0
1227284,3 stk Cookies,13,13,13.416666666666666,51.0
1227518,1 kss. øl,8,6,28.0,56.0
1229449,Antons ØKO Saft,167,78,2.3506493506493507,18.0
1229478,Adelhardt ØKO Rabarber,14,11,15.4,48.0
1229570,Stor Croissant,439,122,1.4958677685950412,16.0
1229711,1/2 Bolle m. smør og ost,5920,132,1.381679389312977,16.0
1229797,Hindbærsnitte,81,54,3.339622641509434,20.0
1229993,Napoleonshat,89,60,3.0338983050847457,23.0
1230081,Cookie,66,42,4.414634146341464,21.0
